municipio_id;ano_previsao;previsao_homicidios;margem_erro_k;previsao_min;previsao_max;correlacao_temporal_r;erro_padrao_se;fator_penalidade_fr;n_anos_dados
279;2021;0;0.816496580927726;0;1;-0.9999999999999998;0.816496580927726;1.0;3
279;2022;0;0.816496580927726;0;1;-0.9999999999999998;0.816496580927726;1.0;3
280;2019;1;6.531972647421808;0;8;-0.5;3.265986323710904;2.0;3
280;2020;1;6.531972647421808;0;8;-0.5;3.265986323710904;2.0;3
280;2021;1;6.531972647421808;0;8;-0.5;3.265986323710904;2.0;3
280;2022;1;6.531972647421808;0;8;-0.5;3.265986323710904;2.0;3
281;2019;2;0.6123724356957945;2;3;0.8660254037844387;0.408248290463863;1.5;3
281;2020;2;0.6123724356957945;1;2;0.8660254037844387;0.408248290463863;1.5;3
281;2021;1;0.6123724356957945;1;2;0.8660254037844387;0.408248290463863;1.5;3
281;2022;1;0.6123724356957945;0;1;0.8660254037844387;0.408248290463863;1.5;3
282;2019;18;16.32993161855452;2;35;0.2318602142840038;6.531972647421808;2.5;3
282;2020;12;16.32993161855452;0;29;0.2318602142840038;6.531972647421808;2.5;3
282;2021;6;16.32993161855452;0;23;0.2318602142840038;6.531972647421808;2.5;3
282;2022;0;16.32993161855452;0;17;0.2318602142840038;6.531972647421808;2.5;3
283;2019;6;1.224744871391589;5;8;0.9954022744967959;1.224744871391589;1.0;3
283;2020;7;1.224744871391589;6;8;0.9954022744967959;1.224744871391589;1.0;3
283;2021;8;1.224744871391589;6;9;0.9954022744967959;1.224744871391589;1.0;3
283;2022;8;1.224744871391589;7;9;0.9954022744967959;1.224744871391589;1.0;3
284;2019;0;0.0;0;0;;0.0;2.5;3
284;2020;0;0.0;0;0;;0.0;2.5;3
284;2021;0;0.0;0;0;;0.0;2.5;3
284;2022;0;0.0;0;0;;0.0;2.5;3
285;2019;0;1.0206207261596576;0;1;;0.408248290463863;2.5;3
285;2020;0;1.0206207261596576;0;1;;0.408248290463863;2.5;3
285;2021;1;1.0206207261596576;0;2;;0.408248290463863;2.5;3
285;2022;1;1.0206207261596576;0;2;;0.408248290463863;2.5;3
286;2019;3;6.123724356957945;0;9;-0.32732683535398854;2.449489742783178;2.5;3
286;2020;2;6.123724356957945;0;8;-0.32732683535398854;2.449489742783178;2.5;3
286;2021;1;6.123724356957945;0;7;-0.32732683535398854;2.449489742783178;2.5;3
286;2022;0;6.123724356957945;0;6;-0.32732683535398854;2.449489742783178;2.5;3
287;2019;0;0.0;0;0;;0.0;2.5;3
287;2020;0;0.0;0;0;;0.0;2.5;3
287;2021;0;0.0;0;0;;0.0;2.5;3
287;2022;0;0.0;0;0;;0.0;2.5;3
288;2019;0;1.632993161855452;0;1;0.5;0.816496580927726;2.0;3
288;2020;1;1.632993161855452;0;2;0.5;0.816496580927726;2.0;3
288;2021;2;1.632993161855452;0;3;0.5;0.816496580927726;2.0;3
288;2022;3;1.632993161855452;1;4;0.5;0.816496580927726;2.0;3
289;2019;43;81.64965809277261;0;124;0.020786514757655382;32.65986323710904;2.5;3
