"Município";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"430190 BARRA DO RIBEIRO";5;5;2;5;10;11;7;5;7;9;5;6;77
"430192 BARRA DO RIO AZUL";-;-;1;-;2;1;-;-;1;-;1;-;6
"430195 BARRA FUNDA";-;-;1;-;1;1;1;-;-;-;-;1;5
"430200 BARROS CASSAL";1;1;1;3;3;3;1;2;2;5;3;3;28
"430205 BENJAMIN CONSTANT DO SUL";1;-;2;-;-;1;1;-;2;1;1;-;9
"430210 BENTO GONCALVES";74;84;81;65;91;98;94;67;69;72;68;62;925
"430215 BOA VISTA DAS MISSOES";1;-;-;1;-;2;-;-;-;-;1;1;6
"430220 BOA VISTA DO BURICA";3;4;4;9;15;4;6;4;2;3;1;6;61
"430222 BOA VISTA DO CADEADO";-;-;1;-;1;-;1;-;1;-;-;2;6
"430223 BOA VISTA DO INCRA";2;1;1;-;-;-;-;-;-;-;3;-;7
"430225 BOA VISTA DO SUL";1;-;-;-;1;-;-;-;-;-;-;-;2
"430230 BOM JESUS";5;2;5;5;3;2;6;6;4;4;10;3;55
"430235 BOM PRINCIPIO";5;8;7;12;9;9;6;4;8;10;4;5;87
"430237 BOM PROGRESSO";1;-;-;-;1;1;-;1;-;1;-;-;5
"430240 BOM RETIRO DO SUL";15;12;13;11;7;10;14;7;13;6;6;7;121
"430245 BOQUEIRAO DO LEAO";3;7;4;1;8;4;5;5;3;4;1;4;49
"430250 BOSSOROCA";1;1;1;-;5;2;1;1;1;1;3;-;17
"430258 BOZANO";-;1;1;1;1;-;1;-;1;-;-;1;7
"430260 BRAGA";1;-;-;2;1;1;-;1;-;1;-;-;7
"430265 BROCHIER";5;4;3;1;2;1;1;3;3;2;4;-;29
"430270 BUTIA";10;6;5;7;5;11;10;8;5;6;6;7;86
"430280 CACAPAVA DO SUL";23;24;23;21;31;38;38;37;25;25;28;23;336
"430290 CACEQUI";11;9;6;9;11;8;11;9;5;6;4;6;95
"430300 CACHOEIRA DO SUL";99;92;84;88;102;103;106;104;104;82;79;92;1135
"430310 CACHOEIRINHA";68;58;48;45;60;66;66;58;55;51;54;42;671
"430320 CACIQUE DOBLE";-;2;1;-;1;3;1;-;3;2;1;1;15
"430330 CAIBATE";8;3;4;2;6;6;4;5;4;3;3;3;51
"430340 CAICARA";4;3;2;2;3;3;2;2;2;4;2;1;30
"430350 CAMAQUA";76;77;62;65;71;110;84;83;68;61;55;54;866
"430355 CAMARGO";1;-;-;-;-;1;1;2;3;2;-;1;11
"430360 CAMBARA DO SUL";6;3;-;3;7;3;6;6;3;4;3;3;47
"430367 CAMPESTRE DA SERRA";-;1;1;-;1;2;1;1;1;3;-;1;12
"430370 CAMPINA DAS MISSOES";6;5;2;3;7;9;8;6;7;4;6;7;70
"430380 CAMPINAS DO SUL";4;3;3;3;5;4;4;4;5;5;7;3;50
"430390 CAMPO BOM";46;27;28;35;41;29;43;37;39;39;37;33;434
"430400 CAMPO NOVO";4;5;8;4;5;1;1;7;1;7;5;4;52
"430410 CAMPOS BORGES";1;4;-;-;3;-;1;4;1;6;-;-;20
"430420 CANDELARIA";33;19;19;29;29;37;46;17;22;25;28;31;335
"430430 CANDIDO GODOI";5;3;8;5;7;3;7;4;5;3;4;5;59
"430435 CANDIOTA";5;3;2;2;4;3;6;2;-;5;2;2;36
"430440 CANELA";18;14;23;19;22;29;23;25;24;17;23;16;253
"430450 CANGUCU";39;34;41;41;56;58;61;49;40;49;35;38;541
"430460 CANOAS";317;276;229;231;256;315;273;288;239;203;231;234;3092
"430461 CANUDOS DO VALE";-;1;1;1;1;2;-;-;1;2;-;-;9
"430462 CAPAO BONITO DO SUL";-;1;-;1;-;-;-;1;-;1;-;1;5
"430463 CAPAO DA CANOA";66;32;48;43;50;53;56;51;66;40;31;41;577
"430465 CAPAO DO CIPO";-;-;-;-;1;-;-;-;1;1;-;-;3
"430466 CAPAO DO LEAO";12;2;11;1;4;8;12;10;10;8;7;7;92
"430467 CAPIVARI DO SUL";1;1;1;1;-;-;-;1;-;-;1;-;6
"430468 CAPELA DE SANTANA";5;3;4;4;4;3;1;4;3;3;2;5;41
"430469 CAPITAO";-;1;1;-;-;-;3;1;-;-;2;-;8
"430470 CARAZINHO";82;61;55;54;74;78;57;55;60;52;47;59;734
"430471 CARAA";2;-;2;1;-;-;1;1;-;-;1;1;9
"430480 CARLOS BARBOSA";14;18;16;9;8;13;15;19;14;16;12;7;161
"430485 CARLOS GOMES";2;-;-;2;-;4;-;-;2;-;1;-;11
"430490 CASCA";4;5;7;7;8;16;6;4;8;7;5;5;82
"430495 CASEIROS";-;-;-;-;-;1;2;-;-;-;2;-;5
"430500 CATUIPE";3;6;7;7;3;5;6;5;1;5;3;10;61
"430510 CAXIAS DO SUL";366;374;305;315;398;408;359;343;306;299;304;249;4026
"430511 CENTENARIO";-;-;-;-;1;1;1;1;-;2;-;1;7
"430512 CERRITO";4;-;-;1;1;2;1;4;2;1;-;1;17
"430513 CERRO BRANCO";-;1;1;1;2;1;3;-;3;-;-;1;13
"430515 CERRO GRANDE";-;2;1;-;2;2;-;1;1;-;3;-;12
"430517 CERRO GRANDE DO SUL";5;2;3;3;4;2;4;6;1;2;1;4;37
"430520 CERRO LARGO";13;10;11;13;15;9;8;14;9;5;8;5;120
"430530 CHAPADA";6;4;4;2;9;6;7;3;4;2;8;8;63
"430535 CHARQUEADAS";35;32;11;15;15;24;31;21;15;22;15;20;256
"430537 CHARRUA";1;1;-;-;1;-;-;1;-;-;3;1;8
"430540 CHIAPETTA";4;2;3;3;4;2;6;3;3;6;-;1;37
"430543 CHUI";1;1;1;2;3;2;-;1;1;-;-;-;12
"430544 CHUVISCA";2;-;1;1;2;2;-;3;1;-;1;1;14
"430545 CIDREIRA";16;8;11;7;12;12;6;10;6;13;6;7;114
"430550 CIRIACO";1;1;-;2;4;5;1;3;-;-;4;3;24
"430558 COLINAS";2;1;3;-;-;-;-;6;1;2;2;-;17
"430560 COLORADO";-;1;1;1;2;-;-;-;-;1;1;3;10
"430570 CONDOR";7;2;3;5;2;8;5;2;4;7;3;4;52
"430580 CONSTANTINA";11;3;3;12;10;11;7;8;5;7;6;5;88
"430583 COQUEIRO BAIXO";-;-;1;-;1;1;-;-;1;-;-;1;5
"430585 COQUEIROS DO SUL";-;-;-;-;1;1;2;-;-;-;-;-;4
"430587 CORONEL BARROS";1;1;-;1;-;4;-;-;3;-;-;1;11
"430590 CORONEL BICACO";3;4;2;4;5;6;5;2;4;4;3;3;45
"430593 CORONEL PILAR";-;1;-;1;-;-;1;-;-;-;-;-;3
"430595 COTIPORA";1;1;2;2;1;2;3;-;-;2;1;1;16
"430597 COXILHA";-;-;1;-;2;-;1;-;-;2;-;-;6
"430600 CRISSIUMAL";4;16;11;6;11;21;13;11;7;9;14;11;134
"430605 CRISTAL";3;5;1;2;2;8;-;5;2;1;7;4;40
"430607 CRISTAL DO SUL";1;1;-;1;-;1;1;-;1;1;-;1;8
"430610 CRUZ ALTA";75;83;73;55;67;72;82;80;87;66;81;62;883
"430613 CRUZALTENSE";-;-;-;-;-;-;1;-;3;-;-;-;4
"430620 CRUZEIRO DO SUL";12;8;5;7;9;14;7;9;10;10;9;5;105
"430630 DAVID CANABARRO";3;9;3;6;2;10;5;5;3;3;2;3;54
"430632 DERRUBADAS";1;1;1;-;1;2;-;-;-;1;-;1;8
"430635 DEZESSEIS DE NOVEMBRO";3;1;1;1;2;1;2;-;-;1;-;2;14
"430637 DILERMANDO DE AGUIAR";3;-;1;1;2;-;2;3;-;-;1;-;13
"430640 DOIS IRMAOS";5;11;12;16;15;21;10;14;12;5;12;11;144
"430642 DOIS IRMAOS DAS MISSOES";-;-;-;1;2;-;-;1;2;-;-;1;7
"430645 DOIS LAJEADOS";6;4;6;4;7;4;-;2;8;3;6;5;55
"430650 DOM FELICIANO";16;3;5;7;6;11;13;5;6;9;8;14;103
"430655 DOM PEDRO DE ALCANTARA";-;2;1;1;-;-;-;-;1;-;-;1;6
"430660 DOM PEDRITO";31;31;29;19;43;39;30;36;30;37;23;17;365
"430670 DONA FRANCISCA";1;-;1;1;-;-;-;3;1;-;1;1;9
"430673 DOUTOR MAURICIO CARDOSO";3;-;-;3;6;2;1;3;1;2;2;-;23
"430675 DOUTOR RICARDO";-;-;1;-;-;1;1;-;1;-;1;-;5
"430676 ELDORADO DO SUL";14;11;10;15;12;16;17;23;8;6;9;17;158
"430680 ENCANTADO";22;23;20;23;35;25;30;23;20;26;25;24;296
"430690 ENCRUZILHADA DO SUL";20;14;15;17;23;26;20;26;15;13;17;22;228
"430692 ENGENHO VELHO";-;1;-;1;-;-;-;-;-;-;1;-;3
"430693 ENTRE-IJUIS";5;2;3;-;3;3;3;-;3;1;2;2;27
"430695 ENTRE RIOS DO SUL";2;2;1;-;2;2;1;1;-;-;1;1;13
"430697 EREBANGO";1;-;-;2;-;1;-;-;-;2;-;-;6
"430700 ERECHIM";107;97;99;90;115;132;126;101;91;95;100;100;1253
"430705 ERNESTINA";-;-;1;1;1;-;-;3;1;1;-;-;8
"430710 HERVAL";8;7;2;6;4;5;3;5;1;3;5;5;54
"430720 ERVAL GRANDE";2;2;2;2;2;1;6;5;2;5;2;1;32
"430730 ERVAL SECO";1;3;4;1;2;6;2;5;4;2;6;3;39
"430740 ESMERALDA";-;-;-;-;-;1;2;-;1;1;1;3;9
"430745 ESPERANCA DO SUL";1;1;1;-;2;-;1;1;1;2;-;2;12
"430750 ESPUMOSO";22;12;17;12;16;18;15;5;8;10;16;9;160
"430755 ESTACAO";3;4;8;5;6;3;3;2;5;2;3;4;48
"430760 ESTANCIA VELHA";22;18;14;23;31;23;29;17;19;22;13;7;238
"430770 ESTEIO";56;49;34;44;53;60;51;54;37;38;45;38;559
"430780 ESTRELA";38;32;22;26;47;45;30;31;33;31;25;23;383
"430781 ESTRELA VELHA";1;-;1;1;1;-;3;-;1;2;1;2;13
"430783 EUGENIO DE CASTRO";-;1;1;-;1;-;-;1;-;2;-;-;6
"430786 FAGUNDES VARELA";2;-;-;1;2;-;-;-;1;1;-;1;8
"430790 FARROUPILHA";33;49;32;44;42;68;35;43;28;41;33;34;482
"430800 FAXINAL DO SOTURNO";13;6;13;11;15;19;13;12;14;18;13;8;155
"430805 FAXINALZINHO";-;-;-;1;-;-;-;-;-;-;-;2;3
"430807 FAZENDA VILANOVA";-;2;1;1;4;1;1;1;1;-;-;2;14
"430810 FELIZ";14;12;5;10;19;9;9;14;7;4;4;10;117
"430820 FLORES DA CUNHA";12;15;13;12;11;20;17;18;9;10;9;9;155
"430825 FLORIANO PEIXOTO";-;-;-;-;-;1;-;3;1;-;-;1;6
"430830 FONTOURA XAVIER";4;1;2;2;8;6;6;5;3;5;3;1;46
"430840 FORMIGUEIRO";4;3;4;2;6;6;7;7;3;7;2;3;54
"430843 FORQUETINHA";1;-;-;1;1;1;-;1;-;3;3;2;13
"430845 FORTALEZA DOS VALOS";-;4;2;2;4;2;3;1;1;-;1;2;22
"430850 FREDERICO WESTPHALEN";32;20;29;27;29;32;31;26;24;18;27;22;317
"430860 GARIBALDI";17;27;18;25;25;26;36;30;27;33;24;26;314
"430865 GARRUCHOS";2;1;2;-;5;2;1;-;-;-;-;-;13
"430870 GAURAMA";4;9;3;8;3;7;5;6;5;2;1;3;56
"430880 GENERAL CAMARA";-;-;-;1;1;-;2;1;1;1;2;1;10
"430885 GENTIL";-;1;-;-;-;1;-;-;1;-;-;1;4
"430890 GETULIO VARGAS";15;7;11;13;19;25;17;12;12;12;10;14;167
"430900 GIRUA";22;12;8;10;15;18;20;7;13;11;13;11;160
"430905 GLORINHA";1;3;3;1;5;3;2;6;1;3;2;-;30
"430910 GRAMADO";24;14;22;29;24;27;29;21;21;26;26;26;289
"430912 GRAMADO DOS LOUREIROS";-;-;-;-;-;1;-;-;1;-;1;-;3
"430915 GRAMADO XAVIER";-;-;1;-;-;3;-;-;1;1;-;-;6
"430920 GRAVATAI";176;124;119;118;165;164;156;156;144;131;124;123;1700
"430925 GUABIJU";1;1;1;-;1;3;2;-;-;1;2;2;14
"430930 GUAIBA";58;48;41;31;54;59;52;41;41;44;42;47;558
"430940 GUAPORE";15;14;10;18;24;34;20;15;16;17;14;13;210
"430950 GUARANI DAS MISSOES";15;5;6;10;8;20;7;12;8;14;7;8;120
"430955 HARMONIA";-;-;-;1;1;2;-;3;-;-;-;2;9
"430957 HERVEIRAS";-;-;1;-;1;1;-;1;1;-;-;1;6
"430960 HORIZONTINA";24;11;10;17;16;20;20;10;9;10;9;12;168
"430965 HULHA NEGRA";-;3;1;1;2;2;1;1;2;-;-;4;17
"430970 HUMAITA";4;2;1;2;1;4;5;1;3;1;2;1;27
"430975 IBARAMA";-;1;-;-;1;-;3;2;-;-;2;2;11
"430980 IBIACA";3;1;1;1;3;3;1;1;-;2;4;1;21
"430990 IBIRAIARAS";2;-;2;1;2;3;4;2;-;1;-;2;19
"430995 IBIRAPUITA";-;-;-;-;-;-;1;-;-;-;-;-;1
"431000 IBIRUBA";16;13;7;9;8;19;10;11;11;10;11;6;131
"431010 IGREJINHA";24;28;23;17;20;26;26;21;17;15;19;14;250
"431020 IJUI";120;88;107;86;115;107;97;110;113;92;78;85;1198
"431030 ILOPOLIS";6;6;3;8;8;3;3;5;6;3;3;3;57
"431033 IMBE";13;11;8;10;21;12;17;13;5;6;12;5;133
"431036 IMIGRANTE";2;1;1;-;2;2;1;2;3;1;1;1;17
"431040 INDEPENDENCIA";-;1;2;4;1;-;1;2;1;2;1;5;20
"431041 INHACORA";3;-;-;-;-;1;1;1;-;-;-;1;7
"431043 IPE";-;1;2;-;2;1;-;-;1;2;1;1;11
"431046 IPIRANGA DO SUL";-;1;1;-;-;-;-;-;-;-;-;-;2
"431050 IRAI";11;4;1;2;3;4;12;3;1;7;4;6;58
"431053 ITAARA";4;-;-;-;7;5;1;2;1;-;-;4;24
"431055 ITACURUBI";2;1;1;-;1;2;1;-;-;1;-;-;9
"431057 ITAPUCA";-;-;1;1;-;2;-;-;-;-;-;-;4
"431060 ITAQUI";45;28;27;24;32;34;25;30;21;27;21;24;338
"431065 ITATI";-;-;1;1;-;3;1;2;1;1;1;2;13
"431070 ITATIBA DO SUL";1;2;4;2;4;-;2;-;-;2;1;1;19
"431075 IVORA";1;-;2;1;-;-;-;-;-;-;3;-;7
"431080 IVOTI";9;17;15;12;17;13;12;13;11;10;13;9;151
"431085 JABOTICABA";6;4;2;5;8;5;4;-;7;3;1;-;45
"431087 JACUIZINHO";1;1;-;-;-;-;-;-;-;1;-;-;3
"431090 JACUTINGA";9;5;4;4;6;4;2;3;2;5;3;4;51
"431100 JAGUARAO";15;18;15;15;20;27;21;24;22;17;16;15;225
"431110 JAGUARI";22;15;8;6;11;14;8;13;13;7;8;2;127
"431112 JAQUIRANA";2;2;3;3;-;3;5;6;4;2;-;1;31
"431113 JARI";1;2;3;1;1;1;1;-;1;1;1;1;14
"431115 JOIA";10;4;3;2;3;5;1;2;1;1;3;3;38
"431120 JULIO DE CASTILHOS";11;10;4;8;10;14;6;10;9;8;15;6;111
"431123 LAGOA BONITA DO SUL";-;-;1;-;1;3;-;-;-;3;1;-;9
"431125 LAGOAO";2;3;1;1;2;2;2;-;1;5;2;3;24
"431130 LAGOA VERMELHA";21;19;23;21;26;29;28;23;19;22;14;16;261
"431140 LAJEADO";89;77;65;82;103;85;93;99;73;67;63;67;963
"431142 LAJEADO DO BUGRE";1;1;-;-;1;-;1;1;1;-;-;-;6
"431150 LAVRAS DO SUL";4;6;5;3;8;5;4;6;8;2;3;1;55
"431160 LIBERATO SALZANO";3;-;2;3;3;5;2;1;3;4;1;1;28
"431162 LINDOLFO COLLOR";1;1;2;2;1;-;-;-;1;-;-;2;10
"431164 LINHA NOVA";-;-;-;-;2;2;1;-;-;1;1;1;8
"431170 MACHADINHO";4;1;-;2;-;1;2;2;1;-;2;1;16
"431171 MACAMBARA";2;-;2;-;-;-;1;-;1;2;2;1;11
"431173 MAMPITUBA";-;-;1;-;-;1;-;-;1;-;-;-;3
"431175 MANOEL VIANA";1;-;1;1;-;-;1;-;1;-;-;-;5
"431177 MAQUINE";4;3;2;2;2;5;1;1;4;1;4;-;29
"431179 MARATA";1;1;-;-;-;-;1;1;1;-;-;1;6
"431180 MARAU";28;15;17;23;25;34;26;17;15;17;18;11;246
"431190 MARCELINO RAMOS";3;3;-;3;4;6;1;1;6;3;1;1;32
"431198 MARIANA PIMENTEL";5;-;2;1;5;2;2;1;-;1;3;1;23
"431200 MARIANO MORO";-;-;-;-;-;-;-;-;2;-;-;-;2
"431205 MARQUES DE SOUZA";7;4;5;7;6;8;6;4;5;7;4;9;72
"431210 MATA";8;6;4;7;3;9;6;6;2;5;1;-;57
"431213 MATO CASTELHANO";1;1;1;-;1;1;1;2;1;1;2;-;12
"431215 MATO LEITAO";4;-;1;1;1;4;5;1;2;-;-;1;20
"431217 MATO QUEIMADO";-;-;2;-;-;-;-;-;-;-;1;-;3
"431220 MAXIMILIANO DE ALMEIDA";-;1;1;4;4;5;5;7;2;2;3;7;41
"431225 MINAS DO LEAO";4;-;3;1;1;4;3;3;1;4;5;-;29
"431230 MIRAGUAI";-;-;1;1;1;2;1;-;-;2;-;2;10
"431235 MONTAURI";1;-;1;2;1;3;2;-;2;-;-;1;13
"431237 MONTE ALEGRE DOS CAMPOS";1;1;1;-;2;1;1;2;-;1;1;-;11
"431238 MONTE BELO DO SUL";1;-;-;1;1;2;1;1;-;-;1;1;9
"431240 MONTENEGRO";76;84;60;54;75;56;60;56;63;59;69;50;762
"431242 MORMACO";-;1;1;1;2;-;-;-;-;-;1;1;7
"431244 MORRINHOS DO SUL";-;-;1;-;-;2;1;-;-;-;-;-;4
"431245 MORRO REDONDO";6;3;2;1;1;5;3;2;1;1;3;3;31
"431247 MORRO REUTER";2;-;6;2;2;7;4;1;2;1;1;3;31
"431250 MOSTARDAS";9;7;5;8;6;8;12;4;2;5;8;5;79
"431260 MUCUM";5;6;6;4;8;5;5;8;7;3;5;5;67
"431261 MUITOS CAPOES";1;2;-;1;-;1;1;-;-;1;-;3;10
"431262 MULITERNO";-;-;-;-;-;-;-;-;-;1;-;2;3
"431265 NAO-ME-TOQUE";19;11;15;13;15;14;11;13;4;7;12;14;148
"431267 NICOLAU VERGUEIRO";-;-;-;1;-;-;1;1;-;-;-;-;3
"431270 NONOAI";15;9;11;11;9;7;10;11;11;11;13;11;129
"431275 NOVA ALVORADA";1;-;2;1;-;1;1;-;1;2;1;1;11
"431280 NOVA ARACA";-;-;-;-;1;-;2;1;1;-;-;-;5
"431290 NOVA BASSANO";5;4;4;8;6;14;7;5;3;12;2;10;80
"431295 NOVA BOA VISTA";-;2;-;-;1;-;-;-;1;-;1;-;5
"431300 NOVA BRESCIA";2;5;3;7;5;4;4;1;-;2;3;5;41
"431301 NOVA CANDELARIA";-;1;1;1;-;1;-;-;-;-;-;-;4
"431303 NOVA ESPERANCA DO SUL";4;3;-;2;-;1;1;-;1;3;5;-;20
"431306 NOVA HARTZ";5;5;1;6;6;3;3;3;2;3;5;2;44
"431308 NOVA PADUA";-;1;-;-;-;-;-;-;-;-;-;-;1
"431310 NOVA PALMA";4;2;1;3;6;5;3;4;4;5;3;3;43
"431320 NOVA PETROPOLIS";17;17;9;20;19;29;12;13;20;12;11;25;204
"431330 NOVA PRATA";10;18;11;19;16;23;26;18;17;22;7;20;207
"431333 NOVA RAMADA";1;-;-;-;-;-;1;-;-;-;-;1;3
"431335 NOVA ROMA DO SUL";3;2;-;-;2;2;1;-;-;2;-;1;13
"431337 NOVA SANTA RITA";10;1;7;5;5;5;6;5;7;1;7;10;69
"431339 NOVO CABRAIS";1;2;1;1;1;2;1;1;-;2;1;-;13
"431340 NOVO HAMBURGO";233;212;169;190;229;230;225;166;165;158;145;151;2273
"431342 NOVO MACHADO";1;-;-;-;4;-;3;2;1;-;1;-;12
"431344 NOVO TIRADENTES";-;-;-;-;-;-;-;-;1;1;1;-;3
"431346 NOVO XINGU";2;-;1;-;-;1;1;1;-;-;-;-;6
"431349 NOVO BARREIRO";3;1;-;-;1;-;1;-;3;2;-;1;12
"431350 OSORIO";43;41;38;38;41;47;33;49;34;30;27;29;450
"431360 PAIM FILHO";3;3;4;1;1;4;2;6;1;6;2;5;38
"431365 PALMARES DO SUL";12;13;3;14;11;18;13;19;13;6;11;9;142
"431370 PALMEIRA DAS MISSOES";32;36;29;34;40;48;43;33;33;39;29;20;416
"431380 PALMITINHO";10;4;8;6;9;7;11;5;12;12;11;8;103
"431390 PANAMBI";17;32;25;18;37;30;19;21;18;22;11;26;276
"431395 PANTANO GRANDE";8;1;2;2;6;5;3;4;2;3;5;3;44
"431400 PARAI";-;4;2;6;1;3;3;10;1;1;2;2;35
"431402 PARAISO DO SUL";13;11;2;7;12;17;9;3;7;5;3;4;93
"431403 PARECI NOVO";-;2;-;1;4;2;1;2;2;-;2;3;19
"431405 PAROBE";48;43;27;26;31;41;42;33;39;30;27;27;414
"431406 PASSA SETE";-;1;-;3;3;1;2;2;3;-;1;4;20
"431407 PASSO DO SOBRADO";-;3;6;6;3;4;4;1;4;5;2;1;39
"431410 PASSO FUNDO";288;254;231;219;254;281;242;267;219;221;197;212;2885
"431413 PAULO BENTO";-;-;1;-;-;4;-;1;-;-;-;-;6
"431415 PAVERAMA";4;5;1;1;4;2;3;3;7;5;3;3;41
"431417 PEDRAS ALTAS";1;-;-;-;1;-;1;1;1;3;1;-;9
"431420 PEDRO OSORIO";7;6;7;6;11;14;5;13;4;5;8;7;93
"431430 PEJUCARA";6;-;-;1;3;3;2;3;2;2;1;1;24
"431440 PELOTAS";368;355;332;298;382;452;410;396;352;308;332;292;4277
"431442 PICADA CAFE";1;1;-;1;2;1;3;-;3;3;-;-;15
"431445 PINHAL";2;-;-;-;-;-;-;-;-;-;-;-;2
"431446 PINHAL DA SERRA";3;2;-;-;3;-;-;3;-;-;1;-;12
"431447 PINHAL GRANDE";2;1;3;2;1;3;1;3;1;-;-;2;19
"431449 PINHEIRINHO DO VALE";2;-;1;-;2;1;2;1;-;-;-;1;10
"431450 PINHEIRO MACHADO";7;6;10;5;13;9;14;10;12;14;4;9;113
"431454 PINTO BANDEIRA";3;1;-;-;-;-;1;1;-;-;-;-;6
"431455 PIRAPO";-;1;-;1;2;2;-;1;-;2;-;1;10
"431460 PIRATINI";17;14;13;4;26;25;18;21;11;20;14;9;192
"431470 PLANALTO";11;14;11;10;5;5;15;11;5;7;3;5;102
"431475 POCO DAS ANTAS";1;-;1;4;1;1;1;-;1;-;-;-;10
"431477 PONTAO";-;3;4;1;2;-;-;-;1;-;-;-;11
"431478 PONTE PRETA";-;-;1;-;-;-;-;-;-;1;-;-;2
"431480 PORTAO";21;13;16;19;25;28;19;22;18;9;19;21;230
"431490 PORTO ALEGRE";1751;1485;1462;1388;1579;1744;1695;1606;1458;1342;1349;1414;18273
"431500 PORTO LUCENA";7;4;3;2;5;3;5;2;1;4;1;7;44
"431505 PORTO MAUA";-;2;1;-;-;2;-;-;-;1;-;-;6
"431507 PORTO VERA CRUZ";-;-;-;-;-;-;-;-;1;-;-;-;1
"431510 PORTO XAVIER";12;2;3;5;7;14;7;7;7;13;9;7;93
"431513 POUSO NOVO";-;-;2;-;-;-;-;-;-;-;-;-;2
"431514 PRESIDENTE LUCENA";-;-;1;1;1;1;1;1;1;1;-;-;8
"431515 PROGRESSO";8;7;6;8;11;8;5;6;6;2;7;4;78
"431517 PROTASIO ALVES";-;-;1;-;1;1;-;-;1;-;1;1;6
"431520 PUTINGA";4;4;1;-;5;2;-;2;2;6;1;1;28
"431530 QUARAI";30;28;15;14;19;19;23;27;19;14;19;19;246
"431531 QUATRO IRMAOS";2;-;-;1;1;-;-;-;-;3;-;1;8
"431532 QUEVEDOS";1;-;-;1;1;2;-;2;1;1;1;-;10
"431535 QUINZE DE NOVEMBRO";4;2;1;4;4;2;2;2;-;1;3;2;27
"431540 REDENTORA";4;5;-;2;3;-;2;-;-;-;2;2;20
"431545 RELVADO";-;-;1;1;-;-;1;-;-;-;-;-;3
"431550 RESTINGA SECA";9;10;6;11;8;16;14;8;6;6;6;14;114
"431555 RIO DOS INDIOS";1;2;2;-;1;1;-;-;-;1;-;-;8
"431560 RIO GRANDE";189;184;185;160;232;247;228;218;164;172;165;186;2330
"431570 RIO PARDO";49;20;37;28;42;46;30;35;38;38;32;25;420
"431575 RIOZINHO";10;1;4;5;1;6;3;2;3;3;-;1;39
"431580 ROCA SALES";10;7;4;4;6;4;10;5;5;7;5;6;73
"431590 RODEIO BONITO";9;8;7;8;10;2;14;8;9;8;5;9;97
