uf;municipio;ano;mes;vitimas
RS;ARROIO DO TIGRE;2024;9;0.0
RS;ARROIO DO TIGRE;2024;10;0.0
RS;ARROIO DO TIGRE;2024;11;0.0
RS;ARROIO DO TIGRE;2024;12;0.0
RS;ARROIO DOS RATOS;2024;1;0.0
RS;ARROIO DOS RATOS;2024;2;0.0
RS;ARROIO DOS RATOS;2024;3;0.0
RS;ARROIO DOS RATOS;2024;4;7.0
RS;ARROIO DOS RATOS;2024;5;0.0
RS;ARROIO DOS RATOS;2024;6;0.0
RS;ARROIO DOS RATOS;2024;7;3.0
RS;ARROIO DOS RATOS;2024;8;0.0
RS;ARROIO DOS RATOS;2024;9;0.0
RS;ARROIO DOS RATOS;2024;10;1.0
RS;ARROIO DOS RATOS;2024;11;0.0
RS;ARROIO DOS RATOS;2024;12;3.0
RS;ARROIO GRANDE;2024;1;1.0
RS;ARROIO GRANDE;2024;2;0.0
RS;ARROIO GRANDE;2024;3;0.0
RS;ARROIO GRANDE;2024;4;0.0
RS;ARROIO GRANDE;2024;5;0.0
RS;ARROIO GRANDE;2024;6;0.0
RS;ARROIO GRANDE;2024;7;0.0
RS;ARROIO GRANDE;2024;8;1.0
RS;ARROIO GRANDE;2024;9;0.0
RS;ARROIO GRANDE;2024;10;0.0
RS;ARROIO GRANDE;2024;11;0.0
RS;ARROIO GRANDE;2024;12;0.0
RS;ARVOREZINHA;2024;1;1.0
RS;ARVOREZINHA;2024;2;0.0
RS;ARVOREZINHA;2024;3;0.0
RS;ARVOREZINHA;2024;4;0.0
RS;ARVOREZINHA;2024;5;0.0
RS;ARVOREZINHA;2024;6;0.0
RS;ARVOREZINHA;2024;7;0.0
RS;ARVOREZINHA;2024;8;1.0
RS;ARVOREZINHA;2024;9;0.0
RS;ARVOREZINHA;2024;10;0.0
RS;ARVOREZINHA;2024;11;0.0
RS;ARVOREZINHA;2024;12;0.0
RS;AUGUSTO PESTANA;2024;1;1.0
RS;AUGUSTO PESTANA;2024;2;0.0
RS;AUGUSTO PESTANA;2024;3;0.0
RS;AUGUSTO PESTANA;2024;4;0.0
RS;AUGUSTO PESTANA;2024;5;0.0
RS;AUGUSTO PESTANA;2024;6;0.0
RS;AUGUSTO PESTANA;2024;7;0.0
RS;AUGUSTO PESTANA;2024;8;0.0
RS;AUGUSTO PESTANA;2024;9;0.0
RS;AUGUSTO PESTANA;2024;10;0.0
RS;AUGUSTO PESTANA;2024;11;0.0
RS;AUGUSTO PESTANA;2024;12;0.0
RS;BAGÉ;2024;1;1.0
RS;BAGÉ;2024;2;1.0
RS;BAGÉ;2024;3;5.0
RS;BAGÉ;2024;4;0.0
RS;BAGÉ;2024;5;1.0
RS;BAGÉ;2024;6;0.0
RS;BAGÉ;2024;7;4.0
RS;BAGÉ;2024;8;2.0
RS;BAGÉ;2024;9;2.0
RS;BAGÉ;2024;10;4.0
RS;BAGÉ;2024;11;0.0
RS;BAGÉ;2024;12;1.0
RS;BALNEÁRIO PINHAL;2024;1;3.0
RS;BALNEÁRIO PINHAL;2024;2;0.0
RS;BALNEÁRIO PINHAL;2024;3;2.0
RS;BALNEÁRIO PINHAL;2024;4;4.0
