municipio;mes;ano;vitimas_homicidio_no_mes_municipio
ALMIRANTE TAMANDARE DO SUL;abril;2023;0
ALMIRANTE TAMANDARE DO SUL;maio;2023;0
ALMIRANTE TAMANDARE DO SUL;junho;2023;0
ALMIRANTE TAMANDARE DO SUL;julho;2023;0
ALMIRANTE TAMANDARE DO SUL;agosto;2023;0
ALMIRANTE TAMANDARE DO SUL;setembro;2023;0
ALMIRANTE TAMANDARE DO SUL;outubro;2023;0
ALMIRANTE TAMANDARE DO SUL;novembro;2023;0
ALMIRANTE TAMANDARE DO SUL;dezembro;2023;0
ALPESTRE;janeiro;2023;1
ALPESTRE;fevereiro;2023;0
ALPESTRE;marco;2023;0
ALPESTRE;abril;2023;0
ALPESTRE;maio;2023;1
ALPESTRE;junho;2023;0
ALPESTRE;julho;2023;0
ALPESTRE;agosto;2023;0
ALPESTRE;setembro;2023;0
ALPESTRE;outubro;2023;0
ALPESTRE;novembro;2023;0
ALPESTRE;dezembro;2023;0
ALTO ALEGRE;janeiro;2023;0
ALTO ALEGRE;fevereiro;2023;0
ALTO ALEGRE;marco;2023;0
ALTO ALEGRE;abril;2023;0
ALTO ALEGRE;maio;2023;0
ALTO ALEGRE;junho;2023;0
ALTO ALEGRE;julho;2023;0
ALTO ALEGRE;agosto;2023;0
ALTO ALEGRE;setembro;2023;0
ALTO ALEGRE;outubro;2023;0
ALTO ALEGRE;novembro;2023;0
ALTO ALEGRE;dezembro;2023;0
ALTO FELIZ;janeiro;2023;0
ALTO FELIZ;fevereiro;2023;0
ALTO FELIZ;marco;2023;0
ALTO FELIZ;abril;2023;0
ALTO FELIZ;maio;2023;0
ALTO FELIZ;junho;2023;0
ALTO FELIZ;julho;2023;0
ALTO FELIZ;agosto;2023;0
ALTO FELIZ;setembro;2023;0
ALTO FELIZ;outubro;2023;0
ALTO FELIZ;novembro;2023;0
ALTO FELIZ;dezembro;2023;0
ALVORADA;janeiro;2023;1
ALVORADA;fevereiro;2023;2
ALVORADA;marco;2023;1
ALVORADA;abril;2023;5
ALVORADA;maio;2023;0
ALVORADA;junho;2023;0
ALVORADA;julho;2023;3
ALVORADA;agosto;2023;2
ALVORADA;setembro;2023;3
ALVORADA;outubro;2023;7
ALVORADA;novembro;2023;3
ALVORADA;dezembro;2023;5
AMARAL FERRADOR;janeiro;2023;0
AMARAL FERRADOR;fevereiro;2023;0
AMARAL FERRADOR;marco;2023;0
AMARAL FERRADOR;abril;2023;0
AMARAL FERRADOR;maio;2023;0
AMARAL FERRADOR;junho;2023;0
AMARAL FERRADOR;julho;2023;0
AMARAL FERRADOR;agosto;2023;0
AMARAL FERRADOR;setembro;2023;0
AMARAL FERRADOR;outubro;2023;0
AMARAL FERRADOR;novembro;2023;0
AMARAL FERRADOR;dezembro;2023;0
AMETISTA DO SUL;janeiro;2023;0
AMETISTA DO SUL;fevereiro;2023;1
AMETISTA DO SUL;marco;2023;0
AMETISTA DO SUL;abril;2023;0
AMETISTA DO SUL;maio;2023;0
AMETISTA DO SUL;junho;2023;0
AMETISTA DO SUL;julho;2023;0
AMETISTA DO SUL;agosto;2023;0
AMETISTA DO SUL;setembro;2023;0
AMETISTA DO SUL;outubro;2023;0
AMETISTA DO SUL;novembro;2023;0
AMETISTA DO SUL;dezembro;2023;0
ANDRE DA ROCHA;janeiro;2023;0
ANDRE DA ROCHA;fevereiro;2023;0
ANDRE DA ROCHA;marco;2023;0
ANDRE DA ROCHA;abril;2023;0
ANDRE DA ROCHA;maio;2023;0
ANDRE DA ROCHA;junho;2023;0
ANDRE DA ROCHA;julho;2023;0
ANDRE DA ROCHA;agosto;2023;0
ANDRE DA ROCHA;setembro;2023;0
ANDRE DA ROCHA;outubro;2023;0
ANDRE DA ROCHA;novembro;2023;0
ANDRE DA ROCHA;dezembro;2023;0
ANTA GORDA;janeiro;2023;0
ANTA GORDA;fevereiro;2023;0
ANTA GORDA;marco;2023;0
ANTA GORDA;abril;2023;0
ANTA GORDA;maio;2023;1
ANTA GORDA;junho;2023;0
ANTA GORDA;julho;2023;0
ANTA GORDA;agosto;2023;0
ANTA GORDA;setembro;2023;0
ANTA GORDA;outubro;2023;0
ANTA GORDA;novembro;2023;0
ANTA GORDA;dezembro;2023;0
ANTONIO PRADO;janeiro;2023;0
ANTONIO PRADO;fevereiro;2023;0
ANTONIO PRADO;marco;2023;0
ANTONIO PRADO;abril;2023;0
ANTONIO PRADO;maio;2023;0
ANTONIO PRADO;junho;2023;0
ANTONIO PRADO;julho;2023;0
ANTONIO PRADO;agosto;2023;0
ANTONIO PRADO;setembro;2023;0
ANTONIO PRADO;outubro;2023;1
ANTONIO PRADO;novembro;2023;0
ANTONIO PRADO;dezembro;2023;0
ARAMBARE;janeiro;2023;0
ARAMBARE;fevereiro;2023;0
ARAMBARE;marco;2023;0
ARAMBARE;abril;2023;0
ARAMBARE;maio;2023;0
ARAMBARE;junho;2023;0
ARAMBARE;julho;2023;0
ARAMBARE;agosto;2023;0
ARAMBARE;setembro;2023;0
ARAMBARE;outubro;2023;0
ARAMBARE;novembro;2023;0
ARAMBARE;dezembro;2023;0
ARARICA;janeiro;2023;0
ARARICA;fevereiro;2023;0
ARARICA;marco;2023;0
ARARICA;abril;2023;1
ARARICA;maio;2023;0
ARARICA;junho;2023;0
ARARICA;julho;2023;0
ARARICA;agosto;2023;0
ARARICA;setembro;2023;0
